year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2021,2021-03-27,78,You Got It,VEDO,0,english,473,0,0.00,,,,,,
2021,2021-03-27,79,Lost,NF,0,english,883,0,0.00,1,,,,,
2021,2021-03-27,80,Sand In My Boots,Morgan Wallen,0,english,286,3,1.05,,,,,,
2021,2021-03-27,81,Beers And Sunshine,Darius Rucker,0,english,301,0,0.00,,,,,,
2021,2021-03-27,82,One Too Many,Keith Urban,0,english,387,0,0.00,,,,,,
2021,2021-03-27,83,Follow You,Imagine Dragons,0,english,275,0,0.00,,,,,,
2021,2021-03-27,84,Baila Conmigo,Selena Gomez,0,english,318,318,100.00,,,,,,
2021,2021-03-27,85,Nobody,Dylan Scott,0,english,297,0,0.00,,,,,,
2021,2021-03-27,86,Glad You Exist,Dan and Shay,0,english,288,0,0.00,,,,,,
2021,2021-03-27,87,Like I Want You,Giveon,0,english,318,0,0.00,1,,,,,
2021,2021-03-27,88,Daywalker,Machine Gun Kelly,0,english,395,0,0.00,1,,,,,
2021,2021-03-27,89,Hello,Pop Smoke,0,english,530,13,2.45,,,,,,
2021,2021-03-27,90,Settling Down,Miranda Lambert,0,english,283,0,0.00,,,,,,
2021,2021-03-27,91,Bandido,Myke Towers,1,spanish,598,598,100.00,,,,,,
2021,2021-03-27,92,Neighbors,Pooh Shiesty,0,english,724,1,0.14,,,,,,
2021,2021-03-27,93,Drankin N Smokin,Future,0,english,582,2,0.34,,,,,,
2021,2021-03-27,94,Hellcats & Trackhawks,Lil Durk,0,english,530,0,0.00,,,,,,
2021,2021-03-27,95,Opp Stoppa,YBN Nahmir,0,english,516,0,0.00,,,,,,
2021,2021-03-27,96,Still Trappin',Lil Durk,0,english,664,2,0.30,,,,,,
2021,2021-03-27,97,Finesse Out The Gang Way,Lil durk,0,english,716,0,0.00,,,,,,
2021,2021-03-27,98,Gone,Dierks Bentley,0,english,318,0,0.00,,,,,,
2021,2021-03-27,99,Lil Bit,Nelly,0,english,577,0,0.00,,,,,,
2021,2021-03-27,100,Undivided,Tim McGraw,0,english,349,0,0.00,1,,,,,
2021,2021-04-03,1,Peaches,Justin Bieber,0,english,491,0,0.00,1,,,,,
2021,2021-04-03,2,Up,Cardi B,0,english,536,0,0.00,,,,,,
2021,2021-04-03,3,Leave The Door Open,Silk Sonic,0,english,476,0,0.00,,,,,,
2021,2021-04-03,4,Drivers License,Olivia Rodrigo,0,english,356,0,0.00,,,,,,
2021,2021-04-03,5,Save Your Tears,The Weeknd,0,english,267,0,0.00,,,,,,
2021,2021-04-03,6,Blinding Lights,The Weeknd,0,english,259,0,0.00,,,,,,
2021,2021-04-03,7,Levitating,Dua Lipa,0,english,498,0,0.00,,,,,,
2021,2021-04-03,8,What's Next,Drake,0,english,548,3,0.55,,,,,,
2021,2021-04-03,9,What You Know Bout Love,Pop Smoke,0,english,464,0,0.00,,,,,,
2021,2021-04-03,10,Mood,24kGoldn,0,english,455,0,0.00,,,,,,
2021,2021-04-03,11,34 plus 35,Ariana Grande,0,english,485,0,0.00,,,,,,
2021,2021-04-03,12,Go Crazy,Chris Brown,0,english,563,0,0.00,,,,,,
2021,2021-04-03,13,Back In Blood,Pooh Shiesty,0,english,716,0,0.00,,,,,,
2021,2021-04-03,14,Calling My Phone,Lil Tjay,0,english,647,0,0.00,,,,,,
2021,2021-04-03,15,Therefore I Am,Billie Eilish,0,english,323,0,0.00,,,,,,
2021,2021-04-03,16,Anyone,Justin Bieber,0,english,325,0,0.00,,,,,,
